PLAYER,BATTING_HAND,BOWLING_TYPE,PLAYING_ROLE,COUNTRY,IS_ACTIVE
J Fraser-McGurk,Right hand Bat,Legbreak Googly,Batter,Australia,False
J Little,Right hand Bat,Left arm Fast medium,Bowler,Ireland,False
J Overton,Right hand Bat,Right arm Fast,Bowling Allrounder,England,True
J Suchith,Left hand Bat,Slow Left arm Orthodox,Bowler,India,False
J Syed Mohammad,Left hand Bat,Slow Left arm Orthodox,Bowler,India,False
J Theron,Right hand Bat,Right arm Medium fast,Bowler,United States of America,False
J Yadav,Right hand Bat,Right arm Offbreak,Bowler,India,False
JA Duffy,Right hand Bat,Right arm Fast medium,Bowler,New Zealand,True
JA Morkel,Left hand Bat,Right arm Medium fast,Bowling Allrounder,South Africa,False
JA Richardson,Right hand Bat,Right arm Fast,Bowler,Australia,False
JC Archer,Right hand Bat,Right arm Fast,Bowler,England,True
JC Buttler,Right hand Bat,Unknown,Wicketkeeper Batter,England,True
JD Ryder,Left hand Bat,Right arm Medium,Allrounder,New Zealand,False
JD Unadkat,Right hand Bat,Left arm Medium,Bowler,India,True
JDP Oram,Left hand Bat,Right arm Fast medium,Allrounder,New Zealand,False
JDS Neesham,Left hand Bat,Right arm Medium fast,Batting Allrounder,New Zealand,False
JE Root,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,England,False
JE Taylor,Right hand Bat,Right arm Fast,Bowler,West Indies,False
JEC Franklin,Left hand Bat,Left arm Medium,Allrounder,New Zealand,False
JG Bethell,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,England,True
JH Kallis,Right hand Bat,Right arm Fast medium,Allrounder,South Africa,False
JJ Bumrah,Right hand Bat,Right arm Fast,Bowler,India,True
JJ Roy,Right hand Bat,Unknown,Opening Batter,England,False
JJ van der Wath,Right hand Bat,Right arm Medium fast,Allrounder,South Africa,False
JL Denly,Right hand Bat,Legbreak,Top order Batter,England,False
JL Pattinson,Left hand Bat,Right arm Fast medium,Bowler,Australia,False
JM Bairstow,Right hand Bat,Right arm Medium,Wicketkeeper Batter,England,False
JM Kemp,Right hand Bat,Right arm Fast medium,Bowling Allrounder,South Africa,False
JM Sharma,Right hand Bat,Unknown,Wicketkeeper Batter,India,True
JO Holder,Right hand Bat,Right arm Medium fast,Bowling Allrounder,West Indies,True
JP Behrendorff,Right hand Bat,Left arm Fast medium,Bowler,Australia,False
JP Duminy,Left hand Bat,Right arm Offbreak,Batting Allrounder,South Africa,False
JP Faulkner,Right hand Bat,Left arm Fast medium,Bowling Allrounder,Australia,False
JP Inglis,Right hand Bat,Unknown,Wicketkeeper Batter,Australia,True
JPR Scantlebury-Searles,Right hand Bat,Right arm Fast medium,Bowling Allrounder,West Indies,False
JR Hazlewood,Left hand Bat,Right arm Fast medium,Bowler,Australia,True
JR Hopes,Right hand Bat,Right arm Medium,Allrounder,Australia,False
JR Philippe,Right hand Bat,Unknown,Wicketkeeper Batter,Australia,False
JW Hastings,Right hand Bat,Right arm Fast medium,Allrounder,Australia,False
Jalaj S Saxena,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Allrounder,India,False
Jaskaran Singh,Right hand Bat,Right arm Medium,Bowler,India,False
Joginder Sharma,Right hand Bat,Right arm Fast medium,Allrounder,India,False
K Goel,Left hand Bat,Right arm Offbreak,Opening Batter,India,False
K Gowtham,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India,False
K Kartikeya,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler,India,False
K Khejroliya,Left hand Bat,Left arm Medium fast,Bowler,India,True
K Rabada,Left hand Bat,Right arm Fast,Bowler,South Africa,True
K Santokie,Left hand Bat,Left arm Medium,Bowler,West Indies,False
K Upadhyay,Right hand Bat,Right arm Medium,Unknown,India,False
K Yadav,Left hand Bat,Left arm Fast medium,Bowler,India,False
KA Jamieson,Right hand Bat,Right arm Fast medium,Bowler,New Zealand,True
KA Maharaj,Right hand Bat,Slow Left arm Orthodox,Bowler,South Africa,False
KA Pollard,Right hand Bat,Right arm Medium,Batting Allrounder,West Indies,False
KAJ Roach,Right hand Bat,Right arm Fast medium,Bowler,West Indies,False
KB Arun Karthik,Right hand Bat,Legbreak Googly,Wicketkeeper Batter,India,False
KC Cariappa,Right hand Bat,Legbreak,Bowler,India,False
KC Sangakkara,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,Sri Lanka,False
KD Karthik,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,India,False
KH Pandya,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,True
KJ Abbott,Right hand Bat,Right arm Fast medium,Bowler,South Africa,False
KK Ahmed,Right hand Bat,Left arm Medium,Bowler,India,True
KK Cooper,Right hand Bat,Right arm Medium,Allrounder,West Indies,False
KK Nair,Right hand Bat,Right arm Offbreak,Top order Batter,India,True
KL Nagarkoti,Right hand Bat,Right arm Fast,Bowler,India,False
KL Rahul,Right hand Bat,Unknown,Opening Batter,India,True
KM Asif,Right hand Bat,Right arm Medium,Bowler,India,False
KM Jadhav,Right hand Bat,Right arm Offbreak,Batting Allrounder,India,False
KMA Paul,Right hand Bat,Right arm Fast medium,Allrounder,West Indies,False
KMDN Kulasekara,Right hand Bat,Right arm Fast medium,Bowler,Sri Lanka,False
KP Appanna,Right hand Bat,Slow Left arm Orthodox,Unknown,India,False
KP Pietersen,Right hand Bat,Right arm Offbreak,Top order Batter,England,False
KR Mayers,Left hand Bat,Right arm Medium,Batting Allrounder,West Indies,False
KR Sen,Right hand Bat,Right arm Fast,Bowler,India,False
KS Bharat,Right hand Bat,Unknown,Wicketkeeper Batter,India,False
KS Rathore,Left hand Bat,Unknown,Unknown,India,False
KS Sharma,Right hand Bat,Right arm Offbreak,Allrounder,India,False
KS Williamson,Right hand Bat,Right arm Offbreak,Top order Batter,New Zealand,False
KT Maphaka,Left-hand bat,Left-arm fast,Unknown,South Africa,False
KV Sharma,Left hand Bat,Legbreak Googly,Bowler,India,False
KW Richardson,Right hand Bat,Right arm Fast medium,Bowler,Australia,False
Kamran Akmal,Right hand Bat,Unknown,Wicketkeeper Batter,Pakistan,False
Kamran Khan,Left hand Bat,Left arm Medium fast,Bowler,India,False
Karanveer Singh,Right hand Bat,Legbreak Googly,Unknown,India,False
Karim Janat,Right hand Bat,Right arm Medium,Bowling Allrounder,Afghanistan,False
Kartik Sharma,Unknown,Unknown,Unknown,Unknown,True
Kartik Tyagi,Right hand Bat,Right arm Fast,Bowler,India,True
Krish Bhagat,Unknown,Unknown,Unknown,Unknown,True
Kuldeep Yadav,Left hand Bat,Left arm Wrist spin,Bowler,India,True
Kumar Kushagra,Right hand Bat,Unknown,Unknown,India,True
L Ablish,Right hand Bat,Right arm Medium fast,Bowler,India,False
L Balaji,Right hand Bat,Right arm Medium fast,Bowler,India,False
L Ngidi,Right hand Bat,Right arm Fast medium,Bowler,South Africa,True
L Ronchi,Right hand Bat,Unknown,Wicketkeeper Batter,New Zealand,False
L Wood,Left hand Bat,Left arm Fast medium,Bowling Allrounder,England,False
LA Carseldine,Left hand Bat,Left arm Medium,Allrounder,Australia,False
LA Pomersbach,Left hand Bat,Right arm Offbreak,Batter,Australia,False
LB Williams,Left hand Bat,Right arm Medium fast,Bowler,South Africa,False
LE Plunkett,Right hand Bat,Right arm Fast,Bowler,England,False
LG Pretorius,Left-hand bat,Unknown,Unknown,South Africa,True
LH Ferguson,Right hand Bat,Right arm Fast,Bowler,New Zealand,True
LI Meriwala,Left hand Bat,Left arm Fast medium,Bowler,India,False
LJ Wright,Right hand Bat,Right arm Medium,Top order Batter,England,False
LMP Simmons,Right hand Bat,Right arm Medium fast,Top order Batter,West Indies,False
LPC Silva,Right hand Bat,Legbreak,Batter,Sri Lanka,False
LR Shukla,Right hand Bat,Right arm Medium,Allrounder,India,False
LRPL Taylor,Right hand Bat,Right arm Offbreak,Middle order Batter,New Zealand,False
LS Livingstone,Right hand Bat,Legbreak,Batting Allrounder,England,True
Lalit Yadav,Right hand Bat,Right arm Offbreak,Allrounder,India,False
Liton Das,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Bangladesh,False
M Ashwin,Right hand Bat,Legbreak Googly,Bowler,India,False
M Jansen,Right hand Bat,Left arm Fast,Bowling Allrounder,South Africa,True
M Kaif,Right hand Bat,Right arm Offbreak,Batter,India,False
M Kartik,Left hand Bat,Slow Left arm Orthodox,Bowler,India,False
M Klinger,Right hand Bat,Unknown,Batter,Australia,False
M Manhas,Right hand Bat,Right arm Offbreak,Allrounder,India,False
M Markande,Right hand Bat,Legbreak,Bowler,India,True
M Morkel,Left hand Bat,Right arm Fast,Bowler,South Africa,False
M Muralitharan,Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka,False
M Ntini,Right hand Bat,Right arm Fast,Bowler,South Africa,False
M Pathirana,Right hand Bat,Right arm Medium,Bowler,Sri Lanka,True
M Prasidh Krishna,Right hand Bat,Right arm Fast medium,Bowler,India,True
M Rawat,Right hand Bat,Unknown,Wicketkeeper Batter,India,False
M Shahrukh Khan,Right hand Bat,Right arm Offbreak,Batter,India,True
M Siddharth,Right hand Bat,Slow Left arm Orthodox,Bowler,India,True
M Theekshana,Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka,False
M Tiwari,Unknown,Unknown,Unknown,Unknown,True
M Vijay,Right hand Bat,Right arm Offbreak,Opening Batter,India,False
M Vohra,Right hand Bat,Right arm Medium,Opening Batter,India,False
M de Lange,Right hand Bat,Right arm Fast,Bowler,South Africa,False
MA Agarwal,Right hand Bat,Right arm Offbreak,Batter,India,False
MA Khote,Right hand Bat,Right arm Medium,Unknown,India,False
MA Starc,Left hand Bat,Left arm Fast,Bowler,Australia,True
MA Wood,Right hand Bat,Right arm Fast,Bowler,England,False
MB Parmar,Right hand Bat,Right arm Offbreak,Unknown,India,False
MC Henriques,Right hand Bat,Right arm Fast medium,Allrounder,Australia,False
MC Juneja,Right hand Bat,Right arm Offbreak,Top order Batter,India,False
MD Choudhary,Unknown,Unknown,Unknown,Unknown,True
MD Mishra,Right hand Bat,Right arm Offbreak,Batter,India,False
MD Shanaka,Right hand Bat,Right arm Medium,Allrounder,Sri Lanka,True
MDKJ Perera,Left hand Bat,Unknown,Wicketkeeper Batter,Sri Lanka,False
MEK Hussey,Left hand Bat,Right arm Medium,Middle order Batter,Australia,False
MF Maharoof,Right hand Bat,Right arm Fast medium,Allrounder,Sri Lanka,False
MG Bracewell,Left hand Bat,Right arm Offbreak,Batting Allrounder,New Zealand,False
MG Johnson,Left hand Bat,Left arm Fast,Bowler,Australia,False
MG Neser,Right hand Bat,Right arm Medium fast,Bowling Allrounder,Australia,False
MJ Clarke,Right hand Bat,Slow Left arm Orthodox,Middle order Batter,Australia,False
MJ Guptill,Right hand Bat,Right arm Offbreak,Opening Batter,New Zealand,False
MJ Henry,Right hand Bat,Right arm Fast medium,Bowler,New Zealand,True
MJ Lumb,Left hand Bat,Right arm Medium,Top order Batter,England,False
MJ McClenaghan,Left hand Bat,Left arm Fast medium,Bowler,New Zealand,False
MJ Owen,Right hand Bat,Right arm Medium,Middle order Batter,Australia,False
MJ Santner,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,New Zealand,True
MJ Suthar,Left hand Bat,Slow Left arm Orthodox,Unknown,India,True
MK Lomror,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,False
MK Pandey,Right hand Bat,Right arm Medium,Top order Batter,India,True
MK Tiwary,Right hand Bat,Legbreak Googly,Batter,India,False
ML Hayden,Left hand Bat,Right arm Medium,Opening Batter,Australia,False
MM Ali,Left hand Bat,Right arm Offbreak,Batting Allrounder,England,False
MM Patel,Right hand Bat,Right arm Medium fast,Bowler,India,False
MM Sharma,Right hand Bat,Right arm Medium,Bowler,India,False
MN Samuels,Right hand Bat,Right arm Offbreak,Top order Batter,West Indies,False
MN van Wyk,Right hand Bat,Slow Left arm Orthodox,Wicketkeeper Batter,South Africa,False
MP Breetzke,Right hand Bat,Unknown,Batter,South Africa,False
MP Stoinis,Right hand Bat,Right arm Medium,Batting Allrounder,Australia,True
MP Yadav,Right hand Bat,Right arm Medium fast,Bowler,India,True
MR Marsh,Right hand Bat,Right arm Medium,Allrounder,Australia,True
MS Bhandage,Left hand Bat,Right arm Medium fast,Allrounder,India,False
MS Bisla,Right hand Bat,Unknown,Wicketkeeper,India,False
MS Dhoni,Right hand Bat,Right arm Medium,Wicketkeeper Batter,India,False
MS Gony,Right hand Bat,Right arm Medium,Bowler,India,False
MS Wade,Left hand Bat,Right arm Medium,Wicketkeeper Batter,Australia,False
MV Boucher,Right hand Bat,Right arm Medium,Wicketkeeper Batter,South Africa,False
MW Short,Right hand Bat,Right arm Offbreak,Top order Batter,Australia,True
Mandeep Singh,Right hand Bat,Right arm Medium,Allrounder,India,False
Mashrafe Mortaza,Right hand Bat,Right arm Fast medium,Bowler,Bangladesh,False
Mayank Dagar,Right hand Bat,Slow Left arm Orthodox,Bowler,India,False
Misbah-ul-Haq,Right hand Bat,Legbreak,Middle order Batter,Pakistan,False
Mohammad Ashraful,Right hand Bat,"Right arm Offbreak, Legbreak",Middle order Batter,Bangladesh,False
Mohammad Asif,Left hand Bat,Right arm Fast medium,Bowler,Pakistan,False
Mohammad Hafeez,Right hand Bat,Right arm Offbreak,Allrounder,Pakistan,False
Mohammad Nabi,Right hand Bat,Right arm Offbreak,Allrounder,Afghanistan,False
Mohammed Shami,Right hand Bat,Right arm Fast,Bowler,India,True
Mohammed Siraj,Right hand Bat,Right arm Fast,Bowler,India,True
Mohit Rathee,Right hand Bat,Legbreak,Allrounder,India,False
Mohsin Khan,Left hand Bat,Left arm Medium fast,Unknown,Hong Kong,True
Monu Kumar,Right hand Bat,Right arm Medium,Bowling Allrounder,India,False
Mujeeb Ur Rahman,Right hand Bat,Right arm Offbreak,Bowler,Afghanistan,False
Mukesh Choudhary,Left hand Bat,Left arm Medium,Bowler,India,True
Mukesh Kumar,Right hand Bat,Right arm Medium,Bowler,India,True
Musheer Khan,Unknown,Unknown,Unknown,Unknown,False
Mustafizur Rahman,Left hand Bat,Left arm Fast medium,Bowler,Bangladesh,False
N Burger,Left hand Bat,Left arm Medium fast,Bowling Allrounder,South Africa,True
N Jagadeesan,Right hand Bat,Unknown,Opening Batter,India,False
N Pooran,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,West Indies,True
N Rana,Left hand Bat,"Right arm Medium, Right arm Offbreak",Middle order Batter,India,True
N Saini,Right hand Bat,Unknown,Wicketkeeper Batter,India,False
N Sindhu,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,True
N Thushara,Right hand Bat,Right arm Medium fast,Bowler,Sri Lanka,False
N Wadhera,Left hand Bat,Legbreak,Top order Batter,India,True
NA Saini,Right hand Bat,Right arm Fast,Bowler,India,False
NB Singh,Right hand Bat,Right arm Medium,Bowler,India,False
ND Doshi,Right hand Bat,Slow Left arm Orthodox,Bowler,England,False
NJ Maddinson,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Australia,False
NJ Rimmington,Right hand Bat,Right arm Fast medium,Bowler,Australia,False
NL McCullum,Right hand Bat,Right arm Offbreak,Bowler,New Zealand,False
NLTC Perera,Left hand Bat,Right arm Medium fast,Bowling Allrounder,Sri Lanka,False
NM Coulter-Nile,Right hand Bat,Right arm Fast,Bowling Allrounder,Australia,False
NS Naik,Right hand Bat,Unknown,Wicketkeeper Batter,India,False
NT Ellis,Right hand Bat,Right arm Fast medium,Bowler,Australia,False
NV Ojha,Right hand Bat,Unknown,Wicketkeeper Batter,India,False
Naman Dhir,Right-hand bat,Right-arm offbreak,Unknown,India,True
Navdeep Saini,Unknown,Unknown,Unknown,Unknown,True
Naveen-ul-Haq,Right hand Bat,Right arm Medium fast,Bowler,Afghanistan,False
Niraj Patel,Left hand Bat,Unknown,Allrounder,India,False
Nithish Kumar Reddy,Right hand Bat,Right arm Medium fast,Batting Allrounder,India,True
Noor Ahmad,Right hand Bat,Left arm Wrist spin,Bowler,Afghanistan,True
O Thomas,Left hand Bat,Right arm Fast,Bowler,West Indies,False
OA Shah,Right hand Bat,Right arm Offbreak,Batter,England,False
OC McCoy,Left hand Bat,Left arm Fast medium,Bowler,West Indies,False
OF Smith,Right hand Bat,Right arm Fast medium,Bowling Allrounder,West Indies,False
P Amarnath,Right hand Bat,Right arm Medium,Unknown,India,False
P Awana,Right hand Bat,Right arm Medium,Bowler,India,False
P Chopra,Right hand Bat,Legbreak Googly,Opening Batter,India,False
P Dogra,Right hand Bat,Legbreak,Batter,India,False
P Dubey,Right hand Bat,Legbreak Googly,Bowler,India,False
P Kumar,Right hand Bat,Right arm Medium,Bowler,India,False
P Negi,Left hand Bat,Slow Left arm Orthodox,Bowler,India,False
P Nissanka,Right hand Bat,Unknown,Top order Batter,Sri Lanka,True
P Parameswaran,Right hand Bat,Left arm Medium,Unknown,India,False
P Prasanth,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,False
P Ray Barman,Right hand Bat,Legbreak Googly,Bowler,India,False
P Sahu,Right hand Bat,Legbreak Googly,Allrounder,India,False
P Simran Singh,Right hand Bat,Unknown,Wicketkeeper Batter,India,True
P Suyal,Right hand Bat,Left arm Medium,Bowler,India,False
PA Patel,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,India,False
PA Reddy,Right hand Bat,Legbreak,Opening Batter,India,False
PBB Rajapaksa,Left hand Bat,Right arm Medium,Top order Batter,Sri Lanka,False
PC Valthaty,Right hand Bat,Right arm Medium,Batter,India,False
PD Collingwood,Right hand Bat,Right arm Medium,Allrounder,England,False
PD Salt,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,England,True
PH Solanki,Right hand Bat,Legbreak,Bowler,India,False
PHKD Mendis,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",Allrounder,Sri Lanka,False
PJ Cummins,Right hand Bat,Right arm Fast,Bowler,Australia,True
PJ Sangwan,Right hand Bat,Left arm Medium,Bowler,India,False
PK Garg,Right hand Bat,Right arm Medium,Top order Batter,India,False
PM Sarvesh Kumar,Right hand Bat,Right arm Medium,Unknown,India,False
PN Mankad,Right hand Bat,Right arm Medium,Allrounder,India,False
PP Chawla,Left hand Bat,Legbreak,Bowling Allrounder,India,False
PP Hinge,Unknown,Unknown,Unknown,Unknown,True
PP Ojha,Left hand Bat,Slow Left arm Orthodox,Bowler,India,False
PP Shaw,Right hand Bat,Right arm Offbreak,Opening Batter,India,False
PR Shah,Right hand Bat,Unknown,Wicketkeeper Batter,India,False
PR Veer,Right-hand bat,Slow left-arm orthodox,Unknown,India,True
PSP Handscomb,Right hand Bat,Unknown,Batter,Australia,False
PV Tambe,Right hand Bat,Legbreak,Bowler,India,False
PVD Chameera,Right hand Bat,Right arm Fast,Bowler,Sri Lanka,True
PVSN Raju,Unknown,Unknown,Unknown,Unknown,False
PWA Mulder,Right hand Bat,Right arm Medium,Allrounder,South Africa,False
PWH de Silva,Right hand Bat,Legbreak,Allrounder,Sri Lanka,False
Pankaj Singh,Right hand Bat,Right arm Medium fast,Bowler,India,False
Parvez Rasool,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India,False
Prince Yadav,Right-hand bat,Right-arm fast,Unknown,India,True
Priyansh Arya,Left hand Bat,Right arm Offbreak,Unknown,India,True
Q de Kock,Left hand Bat,Unknown,Wicketkeeper Batter,South Africa,True
R Ashwin,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India,False
R Bhatia,Right hand Bat,Right arm Medium fast,Allrounder,India,False
R Bishnoi,Right hand Bat,Right arm Medium fast,Middle order Batter,India,False
R Dhawan,Right hand Bat,Right arm Medium fast,Allrounder,India,False
R Dravid,Right hand Bat,Right arm Offbreak,Top order Batter,India,False
R Goyal,Left hand Bat,Left arm Wrist spin,Bowler,India,False
R McLaren,Left hand Bat,Right arm Medium fast,Allrounder,South Africa,False
R Minz,Unknown,Unknown,Unknown,Unknown,True
R Ninan,Right hand Bat,Right arm Offbreak,Allrounder,India,False
R Parag,Right hand Bat,Legbreak,Top order Batter,India,True
R Powell,Right hand Bat,Right arm Medium fast,Middle order Batter,West Indies,True
R Rampaul,Left hand Bat,Right arm Fast medium,Bowler,West Indies,False
R Ravindra,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,New Zealand,False
R Sai Kishore,Left hand Bat,Slow Left arm Orthodox,Bowler,India,True
R Sanjay Yadav,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,False
R Sathish,Right hand Bat,Right arm Medium,Allrounder,India,False
R Sharma,Right hand Bat,Legbreak Googly,Bowler,India,False
R Shepherd,Right hand Bat,Right arm Fast medium,Bowling Allrounder,West Indies,True
R Shukla,Right hand Bat,Right arm Medium,Bowler,India,False
R Smaran,Unknown,Unknown,Unknown,Unknown,True
R Tewatia,Left hand Bat,Legbreak,Bowling Allrounder,India,True
R Vinay Kumar,Right hand Bat,Right arm Medium,Bowler,India,False
RA Bawa,Left hand Bat,Right arm Medium fast,Allrounder,India,True
RA Jadeja,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,True
RA Shaikh,Left hand Bat,Left arm Medium,Unknown,India,False
RA Tripathi,Right hand Bat,Right arm Medium,Top order Batter,India,False
RD Chahar,Right hand Bat,Legbreak Googly,Bowler,India,True
RD Gaikwad,Right hand Bat,Right arm Offbreak,Batter,India,True
RD Rickelton,Left hand Bat,Unknown,Wicketkeeper Batter,South Africa,True
RE Levi,Right hand Bat,Right arm Medium,Opening Batter,South Africa,False
RE van der Merwe,Right hand Bat,Slow Left arm Orthodox,Allrounder,Netherlands,False
RG More,Right hand Bat,Right arm Medium,Bowler,India,False
RG Sharma,Right hand Bat,Right arm Offbreak,Top order Batter,India,True
RJ Gleeson,Right hand Bat,Right arm Fast medium,Bowler,England,False
RJ Harris,Right hand Bat,Right arm Fast,Bowler,Australia,False
RJ Peterson,Left hand Bat,Slow Left arm Orthodox,Bowler,South Africa,False
RJ Quiney,Left hand Bat,Right arm Medium,Batter,Australia,False
RJW Topley,Right hand Bat,Left arm Fast medium,Bowler,England,False
RK Bhui,Right hand Bat,Legbreak Googly,Top order Batter,India,False
RK Singh,Left hand Bat,Right arm Offbreak,Middle order Batter,India,True
RM Patidar,Right hand Bat,Right arm Offbreak,Top order Batter,India,True
RN ten Doeschate,Right hand Bat,Right arm Medium fast,Allrounder,Netherlands,False
RP Meredith,Right hand Bat,Right arm Fast,Bowler,Australia,False
RP Singh,Right hand Bat,Left arm Fast medium,Bowler,India,False
RR Bhatkal,Right hand Bat,Right arm Medium,Allrounder,India,False
RR Bose,Right hand Bat,Right arm Fast medium,Unknown,India,False
RR Pant,Left hand Bat,Unknown,Wicketkeeper Batter,India,True
RR Powar,Right hand Bat,Right arm Offbreak,Bowler,India,False
RR Raje,Right hand Bat,Right arm Fast medium,Unknown,India,False
RR Rossouw,Left hand Bat,Right arm Offbreak,Top order Batter,South Africa,False
RR Sarwan,Right hand Bat,Legbreak,Batter,West Indies,False
RS Bopara,Right hand Bat,Right arm Medium,Batting Allrounder,England,False
RS Gavaskar,Left hand Bat,Slow Left arm Orthodox,Unknown,India,False
RS Ghosh,Unknown,Unknown,Unknown,Unknown,True
RS Hangargekar,Right hand Bat,Right arm Medium,Bowling Allrounder,India,False
RS Sodhi,Right hand Bat,Right arm Medium,Unknown,India,False
RT Ponting,Right hand Bat,Right arm Medium,Top order Batter,Australia,False
RV Gomez,Right hand Bat,Right arm Medium,Allrounder,India,False
RV Patel,Right hand Bat,Right arm Medium fast,Middle order Batter,India,False
RV Uthappa,Right hand Bat,Right arm Medium,Batter,India,False
RW Price,Right hand Bat,Slow Left arm Orthodox,Bowler,Zimbabwe,False
Raghu Sharma,Right hand Bat,Legbreak Googly,Unknown,India,True
Rahmanullah Gurbaz,Right hand Bat,Unknown,Wicketkeeper Batter,Afghanistan,False
Ramandeep Singh,Right hand Bat,Right arm Medium,Middle order Batter,India,True
Rashid Khan,Right hand Bat,Legbreak Googly,Bowling Allrounder,Afghanistan,True
Rasikh Salam,Right hand Bat,Right arm Medium,Bowler,India,True
Ravi Bishnoi,Right hand Bat,Legbreak Googly,Bowler,India,True
Ravi Singh,Unknown,Unknown,Unknown,Unknown,True
S Anirudha,Right hand Bat,Unknown,Top order Batter,India,False
S Aravind,Left hand Bat,Left arm Medium fast,Bowler,India,False
S Arora,Left hand Bat,Unknown,Unknown,India,True
S Badree,Right hand Bat,Legbreak,Bowler,West Indies,False
S Badrinath,Right hand Bat,Right arm Offbreak,Middle order Batter,India,False
S Chanderpaul,Left hand Bat,Legbreak,Batter,West Indies,False
S Dhawan,Left hand Bat,Right arm Offbreak,Opening Batter,India,False
S Dube,Left hand Bat,Right arm Medium,Allrounder,India,True
S Gopal,Right hand Bat,Legbreak,Allrounder,India,False
S Joseph,Left-hand bat,Right-arm fast,Unknown,West Indies,False
S Kaul,Right hand Bat,Right arm Medium,Bowler,India,False
S Kaushik,Right hand Bat,Left arm Wrist spin,Bowler,India,False
S Ladda,Right hand Bat,Legbreak,Bowler,India,False
S Lamichhane,Right hand Bat,Legbreak Googly,Bowler,Nepal,False
S Midhun,Right hand Bat,Legbreak Googly,Bowler,India,False
S Nadeem,Right hand Bat,Slow Left arm Orthodox,Bowler,India,False
S Narwal,Left hand Bat,Right arm Medium,Allrounder,India,False
S Rana,Right hand Bat,Right arm Medium fast,Bowler,India,False
S Randiv,Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka,False
S Sandeep Warrier,Right hand Bat,Right arm Medium,Bowler,India,False
S Sohal,Right hand Bat,Legbreak,Batter,United States of America,False
S Sreesanth,Right hand Bat,Right arm Fast medium,Bowler,India,False
S Sriram,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,India,False
S Tyagi,Right hand Bat,Right arm Medium,Bowler,India,False
S Vidyut,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,India,False
SA Abbott,Right hand Bat,Right arm Fast medium,Allrounder,Australia,False
SA Asnodkar,Right hand Bat,Right arm Offbreak,Batter,India,False
SA Yadav,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,India,True
SB Bangar,Right hand Bat,Right arm Medium fast,Unknown,India,False
SB Dubey,Left hand Bat,Right arm Offbreak,Middle order Batter,India,True
SB Jakati,Left hand Bat,Slow Left arm Orthodox,Bowler,India,False
SB Joshi,Left hand Bat,Slow Left arm Orthodox,Allrounder,India,False
SB Styris,Right hand Bat,Right arm Medium,Allrounder,New Zealand,False
SB Wagh,Left hand Bat,Left arm Medium fast,Allrounder,India,False
SC Ganguly,Left hand Bat,Right arm Medium,Batter,India,False
SC Kuggeleijn,Right hand Bat,Right arm Fast medium,Bowling Allrounder,New Zealand,False
SD Chitnis,Right hand Bat,Right arm Offbreak,Batter,India,False
SD Hope,Right hand Bat,Unknown,Wicketkeeper Batter,West Indies,False
SD Lad,Right hand Bat,Right arm Offbreak,Middle order Batter,India,False
SE Bond,Right hand Bat,Right arm Fast,Bowler,New Zealand,False
SE Marsh,Left hand Bat,Slow Left arm Orthodox,Top order Batter,Australia,False
SE Rutherford,Left hand Bat,Right arm Fast medium,Middle order Batter,West Indies,True
SH Johnson,Left hand Bat,Left arm Fast medium,Bowler,Australia,True
SJ Srivastava,Right hand Bat,Left arm Fast medium,Bowler,India,False
SK Raina,Left hand Bat,Right arm Offbreak,Middle order Batter,India,False
SK Rasheed,Right hand Bat,Legbreak,Unknown,India,False
SK Trivedi,Right hand Bat,Right arm Medium,Bowler,India,False
SK Warne,Right hand Bat,Legbreak Googly,Bowler,Australia,False
SL Malinga,Right hand Bat,Right arm Fast,Bowler,Sri Lanka,False
SM Boland,Right hand Bat,Right arm Fast medium,Bowler,Australia,False
SM Curran,Left hand Bat,Left arm Medium fast,Allrounder,England,False
